Citation,Description,CVG,CommentsCVG,CET,CommentsCET,Venue,Count,Group,HtmlText
"Hu, X., Ip, J., Sadaful, K., Lui, G., & Chu, S. (2016, April). Wikiglass: a learning analytic tool for visualizing collaborative wikis of secondary school students. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 550-551). ACM.",Describes a visualization tool for collaboration in wikis,1,No background on visualization strategies,1,No clear connection with any learning theory.,European Conference on Technology Enhanced Learning ,2,7,"<b> Citation: </b>Hu, X., Ip, J., Sadaful, K., Lui, G., & Chu, S. (2016, April). Wikiglass: a learning analytic tool for visualizing collaborative wikis of secondary school students. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 550-551). ACM.</br></br><b> Description: </b>Describes a visualization tool for collaboration in wikis</br></br><b> CVG: </b>No background on visualization strategies</br></br><b> CET: </b>No clear connection with any learning theory.</br></br></br></br><b> Citation: </b>Jugo, I., Kova?i?, B., & Slavuj, V. (2015, January). Integrating a Web-based ITS with DM tools for Providing Learning Path Optimization and Visual Analytics. In 8th International Conference on Educational data mining.</br></br><b> Description: </b>Visualizations for intelligent tutoring systems</br></br><b> CVG: </b>No background on visualization strategies</br></br><b> CET: </b>No clear connection with any learning theory.</br></br>"
"Freeman, J. D. (2016, April). Demonstration of the Unizin sentiment visualizer. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 552-553). ACM.","Describes the  Unizin Sentiment Visualizer, a visualization tool for s",1,No background on visualization strategies,2,"Brief mention of the constructs sentiment, frustration, uncertainty, and inquisition, with a connection to an IMS GLC framework, but no clear connection with educational theories.",Computers in Human Behavior,2,0,"<b> Citation: </b>Freeman, J. D. (2016, April). Demonstration of the Unizin sentiment visualizer. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 552-553). ACM.</br></br><b> Description: </b>Describes the  Unizin Sentiment Visualizer, a visualization tool for s</br></br><b> CVG: </b>No background on visualization strategies</br></br><b> CET: </b>Brief mention of the constructs sentiment, frustration, uncertainty, and inquisition, with a connection to an IMS GLC framework, but no clear connection with educational theories.</br></br></br></br><b> Citation: </b>Faucon, L., Kidzinski, L., & Dillenbourg, P. (2016). Semi-Markov model for simulating MOOC students. In Proceedings of the 9th International Conference on Educational Data Mining (No. EPFL-CONF-218881).</br></br><b> Description: </b>Modeling students' activities in a MOOC</br></br><b> CVG: </b>No background on visualization strategies</br></br><b> CET: </b>Provides a background of methods for modeling students (not educational theories), but this does not inform the visualization or help to support the discussion</br></br>"
"Jugo, I., Kova?i?, B., & Slavuj, V. (2016, January). Guiding Students towards Frequent High-Utility Paths in an Ill-Defined Domain. In 9th International Conference on Educational Data Mining.",Identifies common learning paths in intelligent tutoring systems,1,No background on visualization strategies,3,Brief mention to intelligent tutoring systems and learning paths,LAK,3,9,"<b> Citation: </b>Jugo, I., Kova?i?, B., & Slavuj, V. (2016, January). Guiding Students towards Frequent High-Utility Paths in an Ill-Defined Domain. In 9th International Conference on Educational Data Mining.</br></br><b> Description: </b>Identifies common learning paths in intelligent tutoring systems</br></br><b> CVG: </b>No background on visualization strategies</br></br><b> CET: </b>Brief mention to intelligent tutoring systems and learning paths</br></br></br></br><b> Citation: </b>Warner, J., Doorenbos, J., Miller, B. N., & Guo, P. J. (2015). How high school, college, and online students differentially engage with an interactive digital textbook. In International Conference on Educational Data Mining (EDM).</br></br><b> Description: </b>Understanding students interactions with digital textbooks</br></br><b> CVG: </b>No background on visualization strategies</br></br><b> CET: </b>No background literature to inform the design. Briefly connects with drop-out literature from MOOCS to interpret the findings.</br></br></br></br><b> Citation: </b>Ahn, J., Gubbels, M., Yip, J., Bonsignore, E., & Clegg, T. (2013, June). Using social media and learning analytics to understand how children engage in scientific inquiry. In Proceedings of the 12th International Conference on Interaction Design and Children (pp. 427-430). ACM.</br></br><b> Description: </b>Visualization of students interactions in social media promoting scientific inquiry learning</br></br><b> CVG: </b>No background on visualization strategies</br></br><b> CET: </b>Brielfy connects social media and learning literature to feedback and scaffolding (one reference only). Does not inform design and does not discusses findings under existing literature</br></br>"
"Cruz-Benito, J., Therón, R., García-Peñalvo, F. J., & Lucas, E. P. (2015). Discovering usage behaviors and engagement in an Educational Virtual World. Computers in Human Behavior, 47, 18-25.",This paper explores usage behaviors and engagement in a virual world.,1,No background on visualization strategies,4,"Presents a background of engagement, but does not  inform the visualization design nor does it discuss the findings using this literature",IEEE Transactions on Visualization and Computer Graphics,2,6,"<b> Citation: </b>Cruz-Benito, J., Therón, R., García-Peñalvo, F. J., & Lucas, E. P. (2015). Discovering usage behaviors and engagement in an Educational Virtual World. Computers in Human Behavior, 47, 18-25.</br></br><b> Description: </b>This paper explores usage behaviors and engagement in a virual world.</br></br><b> CVG: </b>No background on visualization strategies</br></br><b> CET: </b>Presents a background of engagement, but does not  inform the visualization design nor does it discuss the findings using this literature</br></br></br></br><b> Citation: </b>Schneider, B., & Pea, R. (2014, July). The effect of mutual gaze perception on students’ verbal coordination. In Proceedings of the 7th International Conference on Educational Data Mining (EDM 2014) (pp. 138-144).</br></br><b> Description: </b>Understanding the collaboration by exploring  students' awareness of each other ""gaze"" and verbal discussions</br></br><b> CVG: </b>No background on visualization strategies</br></br><b> CET: </b>Builds on top of previous research that has demonstrated the effect of gaze awareness on learning. Does not inform the design  using this literature. No discussion under existing literature.</br></br>"
"Iglesias-Pradas, S., Ruiz-de-Azcárate, C., & Agudo-Peregrina, Á. F. (2015). Assessing the suitability of student interactions from Moodle data logs as predictors of cross-curricular competencies. Computers in Human Behavior, 47, 81-89.",Captures interactions from a LMS to identify the development of team work and commitment,1,No background on visualization strategies,5,"Defines commitment and teamwork based on existing literature to guide the development of analysis tools, but it does not inform the design of the visualizations using this literature. Discusses findings connecting with only two sources of literature",Computers in Human Behavior,3,0,"<b> Citation: </b>Iglesias-Pradas, S., Ruiz-de-Azcárate, C., & Agudo-Peregrina, Á. F. (2015). Assessing the suitability of student interactions from Moodle data logs as predictors of cross-curricular competencies. Computers in Human Behavior, 47, 81-89.</br></br><b> Description: </b>Captures interactions from a LMS to identify the development of team work and commitment</br></br><b> CVG: </b>No background on visualization strategies</br></br><b> CET: </b>Defines commitment and teamwork based on existing literature to guide the development of analysis tools, but it does not inform the design of the visualizations using this literature. Discusses findings connecting with only two sources of literature</br></br></br></br><b> Citation: </b>Bull, S., Kickmeier-Rust, M., Vatrapu, R. K., Johnson, M. D., Hammermueller, K., Byrne, W., ... & Meissl-Egghart, G. (2013, September). Learning, Learning Analytics, Activity Visualisation and Open Learner Model: Confusing?. In European Conference on Technology Enhanced Learning (pp. 532-535). Springer Berlin Heidelberg.</br></br><b> Description: </b>Next-TELL - Visualization tool for the open learner model</br></br><b> CVG: </b>No background on visualization strategies</br></br><b> CET: </b>Mentions the Competence-based knowledge space theory as the framework that informed part of the tool, and briefly mentions other competency frameworks.</br></br></br></br><b> Citation: </b>Martinez-Maldonado, R., Pardo, A., Mirriahi, N., Yacef, K., Kay, J., & Clayphan, A. (2016). Latux: an iterative workflow for designing, validating and deploying learning analytics visualisations. Journal of Learning Analytics, 2(3), 9-39.
Chicago </br></br><b> Description: </b>Proposes a workflow for developing learning analytics tools, and includes a case study. The scores used for this paper correspond to the case study that describes a dashboard for teachers to understand students' collaboration</br></br><b> CVG: </b>No background on visualization strategies</br></br><b> CET: </b>Brielfy connects with social proxies, equity of oral participation and decision making, and levels of participation at the tabletop to inform the design of  four visualizations. Does not discuss findings under these theories</br></br>"
"de Laat, M., & Schreurs, B. (2013). Visualizing informal professional development networks: Building a case for learning analytics in the workplace. American Behavioral Scientist, 57(10), 1421-1438.",This study presents a learning analytics tool to professional development networks,1,There is no clear connection with visualization background.,7,"The paper makes a relevant connection with networked learning to make the case for the tool, and to briefly interpret the networks that are visualized.",IEEE Transactions on Visualization and Computer Graphics,1,6,"<b> Citation: </b>de Laat, M., & Schreurs, B. (2013). Visualizing informal professional development networks: Building a case for learning analytics in the workplace. American Behavioral Scientist, 57(10), 1421-1438.</br></br><b> Description: </b>This study presents a learning analytics tool to professional development networks</br></br><b> CVG: </b>There is no clear connection with visualization background.</br></br><b> CET: </b>The paper makes a relevant connection with networked learning to make the case for the tool, and to briefly interpret the networks that are visualized.</br></br>"
"Nagy, R. P. (2016). Tracking and Visualising Student Effort: Evolution of a Practical Analytics Tool for Staff and Student Engagement. Journal of Learning Analytics, 3(2), 164-192.",Provides a visualization tool of students' effortm for teachers to assess students and to provide formative feedback,1,No background on visualization strategies,9,"Provides a review of background literature on students' effort and its effect for motivation and learning. The study discusses the findings under the existing literature, and somewhat informs the design by establishing the constructs to assess",Computers in Human Behavior,1,3,"<b> Citation: </b>Nagy, R. P. (2016). Tracking and Visualising Student Effort: Evolution of a Practical Analytics Tool for Staff and Student Engagement. Journal of Learning Analytics, 3(2), 164-192.</br></br><b> Description: </b>Provides a visualization tool of students' effortm for teachers to assess students and to provide formative feedback</br></br><b> CVG: </b>No background on visualization strategies</br></br><b> CET: </b>Provides a review of background literature on students' effort and its effect for motivation and learning. The study discusses the findings under the existing literature, and somewhat informs the design by establishing the constructs to assess</br></br>"
"Agudo-Peregrina, Á. F., Iglesias-Pradas, S., Conde-González, M. Á., & Hernández-García, Á. (2014). Can we predict success from log data in VLEs? Classification of interactions for learning analytics and their relation with performance in VLE-supported F2F and online learning. Computers in human behavior, 31, 542-550.",Compares different interactions in a learning environment with student performance,1,No background on visualization strategies,10,"Describes possible interactions in a learning environment, and their implications for teaching and learning. Discusses the findings under the light of existing literature",Computers in Human Behavior,2,0,"<b> Citation: </b>Agudo-Peregrina, Á. F., Iglesias-Pradas, S., Conde-González, M. Á., & Hernández-García, Á. (2014). Can we predict success from log data in VLEs? Classification of interactions for learning analytics and their relation with performance in VLE-supported F2F and online learning. Computers in human behavior, 31, 542-550.</br></br><b> Description: </b>Compares different interactions in a learning environment with student performance</br></br><b> CVG: </b>No background on visualization strategies</br></br><b> CET: </b>Describes possible interactions in a learning environment, and their implications for teaching and learning. Discusses the findings under the light of existing literature</br></br></br></br><b> Citation: </b>Lonn, S., Aguilar, S. J., & Teasley, S. D. (2015). Investigating student motivation in the context of a learning analytics intervention during a summer bridge program. Computers in Human Behavior, 47, 90-97.</br></br><b> Description: </b>Presents a dashboard to visualize students' motivation</br></br><b> CVG: </b>No background on visualization strategies</br></br><b> CET: </b>Defines intrinsic motivation as the theoretical framework guiding this study. Discusses the findings using existing literature</br></br>"
"Khan, I., & Pardo, A. (2016, April). Data2U: scalable real time student feedback in active learning environments. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 249-253). ACM.",Presents and evaluates a student dashboard of engagement with course activities,2,Background on visual learning analytics. No connection to the actual design of the dashboard. No discussion of findings under the existing literature,3,Briefly introduces feedback as the learning component of visual analytics. No discussion of findings under the existing literature,EDM,1,4,"<b> Citation: </b>Khan, I., & Pardo, A. (2016, April). Data2U: scalable real time student feedback in active learning environments. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 249-253). ACM.</br></br><b> Description: </b>Presents and evaluates a student dashboard of engagement with course activities</br></br><b> CVG: </b>Background on visual learning analytics. No connection to the actual design of the dashboard. No discussion of findings under the existing literature</br></br><b> CET: </b>Briefly introduces feedback as the learning component of visual analytics. No discussion of findings under the existing literature</br></br>"
"Ali, L., Hatala, M., Gaševi?, D., & Jovanovi?, J. (2012). A qualitative evaluation of evolution of a learning analytics tool. Computers & Education, 58(1), 470-489.",This paper evaluates a learning analytics tool called LOCO-analyst,2,"Brief description of related work on visualizations for learning analytics. This does not inform their design, nor does it help to interpret the findings in the discussion",4,"The paper discusses the different forms of feedback for learning analytics, but it is unclear how this theory helped design the visualizations, and the results are not discussed under the lens of feedback literature",EDM,2,0,"<b> Citation: </b>Ali, L., Hatala, M., Gaševi?, D., & Jovanovi?, J. (2012). A qualitative evaluation of evolution of a learning analytics tool. Computers & Education, 58(1), 470-489.</br></br><b> Description: </b>This paper evaluates a learning analytics tool called LOCO-analyst</br></br><b> CVG: </b>Brief description of related work on visualizations for learning analytics. This does not inform their design, nor does it help to interpret the findings in the discussion</br></br><b> CET: </b>The paper discusses the different forms of feedback for learning analytics, but it is unclear how this theory helped design the visualizations, and the results are not discussed under the lens of feedback literature</br></br></br></br><b> Citation: </b>Ruiz, S., Charleer, S., Urretavizcaya, M., Klerkx, J., Fernández-Castro, I., & Duval, E. (2016, April). Supporting learning by considering emotions: tracking and visualization a case study. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 254-263). ACM.</br></br><b> Description: </b>Presents a dashboard to visualize students' emotions and how they evolve in a course</br></br><b> CVG: </b>Describes the rationale for the selected visualizations but do not connect with literature for this purpose</br></br><b> CET: </b>Brief discussion on the role of emotions. No connection with theory on the discussion section </br></br>"
