Citation,Description,CET,CommentsCET,SoV,CommentsSoV,Venue,Count,Group,HtmlText
"Hu, X., Ip, J., Sadaful, K., Lui, G., & Chu, S. (2016, April). Wikiglass: a learning analytic tool for visualizing collaborative wikis of secondary school students. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 550-551). ACM.",Describes a visualization tool for collaboration in wikis,1,No clear connection with any learning theory.,3,"Multiple, simple, disconnected visualizations",LAK,1,9,"<b> Citation: </b>Hu, X., Ip, J., Sadaful, K., Lui, G., & Chu, S. (2016, April). Wikiglass: a learning analytic tool for visualizing collaborative wikis of secondary school students. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 550-551). ACM.</br></br><b> Description: </b>Describes a visualization tool for collaboration in wikis</br></br><b> CET: </b>No clear connection with any learning theory.</br></br><b> SoV: </b>Multiple, simple, disconnected visualizations</br></br>"
"Jugo, I., Kova?i?, B., & Slavuj, V. (2015, January). Integrating a Web-based ITS with DM tools for Providing Learning Path Optimization and Visual Analytics. In 8th International Conference on Educational data mining.",Visualizations for intelligent tutoring systems,1,No clear connection with any learning theory.,4,Multiple simple static disconnected visualizations,EDM,1,4,"<b> Citation: </b>Jugo, I., Kova?i?, B., & Slavuj, V. (2015, January). Integrating a Web-based ITS with DM tools for Providing Learning Path Optimization and Visual Analytics. In 8th International Conference on Educational data mining.</br></br><b> Description: </b>Visualizations for intelligent tutoring systems</br></br><b> CET: </b>No clear connection with any learning theory.</br></br><b> SoV: </b>Multiple simple static disconnected visualizations</br></br>"
"Fu, S., Zhao, J., Cui, W., & Qu, H. (2017). Visual Analysis of MOOC Forums with iForum. IEEE Transactions on Visualization and Computer Graphics, 23(1), 201-210.",This study proposes a visualization tool for discussion forums in MOOCs,1,"The paper does not make connection between the proposed work and the educational theories. Instead, just mentions that forums are an important interaction tool in MOOCs",10,"Multi-level, novel, interactive visualization, with all levels connected to each other",IEEE Transactions on Visualization and Computer Graphics,2,6,"<b> Citation: </b>Fu, S., Zhao, J., Cui, W., & Qu, H. (2017). Visual Analysis of MOOC Forums with iForum. IEEE Transactions on Visualization and Computer Graphics, 23(1), 201-210.</br></br><b> Description: </b>This study proposes a visualization tool for discussion forums in MOOCs</br></br><b> CET: </b>The paper does not make connection between the proposed work and the educational theories. Instead, just mentions that forums are an important interaction tool in MOOCs</br></br><b> SoV: </b>Multi-level, novel, interactive visualization, with all levels connected to each other</br></br></br></br><b> Citation: </b>Chen, Q., Chen, Y., Liu, D., Shi, C., Wu, Y., & Qu, H. (2016). Peakvizor: Visual analytics of peaks in video clickstreams from massive open online courses. IEEE transactions on visualization and computer graphics, 22(10), 2315-2330.</br></br><b> Description: </b>This study explores students' clickstream data of videos in the context of MOOCs. The study uses an algorithm to identify peaks of interactions from students, to make sense out of this.</br></br><b> CET: </b>No clear connection with any learning theory.</br></br><b> SoV: </b>Multi-level, novel, interactive visualization, with all levels connected to each other</br></br>"
"Faucon, L., Kidzinski, L., & Dillenbourg, P. (2016). Semi-Markov model for simulating MOOC students. In Proceedings of the 9th International Conference on Educational Data Mining (No. EPFL-CONF-218881).",Modeling students' activities in a MOOC,2,"Provides a background of methods for modeling students (not educational theories), but this does not inform the visualization or help to support the discussion",3,Two simple disconnected visualizations are presented,EDM,1,4,"<b> Citation: </b>Faucon, L., Kidzinski, L., & Dillenbourg, P. (2016). Semi-Markov model for simulating MOOC students. In Proceedings of the 9th International Conference on Educational Data Mining (No. EPFL-CONF-218881).</br></br><b> Description: </b>Modeling students' activities in a MOOC</br></br><b> CET: </b>Provides a background of methods for modeling students (not educational theories), but this does not inform the visualization or help to support the discussion</br></br><b> SoV: </b>Two simple disconnected visualizations are presented</br></br>"
"Trimm, D., & Rheingans, P. (2012). Visualizing student histories using clustering and composition. IEEE transactions on visualization and computer graphics, 18(12), 2809-2818.",This paper proposes a tool to visualize students' academic historiy throughout several semesters,2,The paper does not involve an educational theory. The purpose of this visualization is to provide insights on important and difficult courses,4,"Although there is more than one level of visualization, the visualizations are simple, static, and the different levels are not easy to connect",IEEE Transactions on Visualization and Computer Graphics,1,6,"<b> Citation: </b>Trimm, D., & Rheingans, P. (2012). Visualizing student histories using clustering and composition. IEEE transactions on visualization and computer graphics, 18(12), 2809-2818.</br></br><b> Description: </b>This paper proposes a tool to visualize students' academic historiy throughout several semesters</br></br><b> CET: </b>The paper does not involve an educational theory. The purpose of this visualization is to provide insights on important and difficult courses</br></br><b> SoV: </b>Although there is more than one level of visualization, the visualizations are simple, static, and the different levels are not easy to connect</br></br>"
"Freeman, J. D. (2016, April). Demonstration of the Unizin sentiment visualizer. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 552-553). ACM.","Describes the  Unizin Sentiment Visualizer, a visualization tool for s",2,"Brief mention of the constructs sentiment, frustration, uncertainty, and inquisition, with a connection to an IMS GLC framework, but no clear connection with educational theories.",5,"Multi-level, simple, disconnected, interactive visualizations",LAK,1,9,"<b> Citation: </b>Freeman, J. D. (2016, April). Demonstration of the Unizin sentiment visualizer. In Proceedings of the Sixth International Conference on Learning Analytics & Knowledge (pp. 552-553). ACM.</br></br><b> Description: </b>Describes the  Unizin Sentiment Visualizer, a visualization tool for s</br></br><b> CET: </b>Brief mention of the constructs sentiment, frustration, uncertainty, and inquisition, with a connection to an IMS GLC framework, but no clear connection with educational theories.</br></br><b> SoV: </b>Multi-level, simple, disconnected, interactive visualizations</br></br>"
"Dyckhoff, A. L., Zielke, D., Bültmann, M., Chatti, M. A., & Schroeder, U. (2012). Design and implementation of a learning analytics toolkit for teachers. Educational Technology & Society, 15(3), 58-76.","Describes eLAT, a learning analytics dashboard, for teachers to explore how students use certain learning objects",2,Briefly mentions connectvism and other learning theories as future work,6,"Multi-level simple, disconnected, interactive visualizations",Educational Technology & Society,1,5,"<b> Citation: </b>Dyckhoff, A. L., Zielke, D., Bültmann, M., Chatti, M. A., & Schroeder, U. (2012). Design and implementation of a learning analytics toolkit for teachers. Educational Technology & Society, 15(3), 58-76.</br></br><b> Description: </b>Describes eLAT, a learning analytics dashboard, for teachers to explore how students use certain learning objects</br></br><b> CET: </b>Briefly mentions connectvism and other learning theories as future work</br></br><b> SoV: </b>Multi-level simple, disconnected, interactive visualizations</br></br>"
"Chen, Y., Chen, Q., Zhao, M., Boyer, S., Veeramachaneni, K., & Qu, H. (2016, October). DropoutSeer: Visualizing learning patterns in Massive Open Online Courses for dropout reasoning and prediction. In Visual Analytics Science and Technology (VAST), 2016 IEEE Conference on (pp. 111-120). IEEE.",Visual analytics system for understanding students' reasons for dropping out MOOCs,2,"Summarizes existing work in dropout prediction, but mostly focused on computational methods (not educational theories). Does not connect with any educational theory in the discussion of results",10,"Multi-level, novel, interactive visualization, with all levels connected to each other",VAST,1,7,"<b> Citation: </b>Chen, Y., Chen, Q., Zhao, M., Boyer, S., Veeramachaneni, K., & Qu, H. (2016, October). DropoutSeer: Visualizing learning patterns in Massive Open Online Courses for dropout reasoning and prediction. In Visual Analytics Science and Technology (VAST), 2016 IEEE Conference on (pp. 111-120). IEEE.</br></br><b> Description: </b>Visual analytics system for understanding students' reasons for dropping out MOOCs</br></br><b> CET: </b>Summarizes existing work in dropout prediction, but mostly focused on computational methods (not educational theories). Does not connect with any educational theory in the discussion of results</br></br><b> SoV: </b>Multi-level, novel, interactive visualization, with all levels connected to each other</br></br>"
"Jugo, I., Kova?i?, B., & Slavuj, V. (2016, January). Guiding Students towards Frequent High-Utility Paths in an Ill-Defined Domain. In 9th International Conference on Educational Data Mining.",Identifies common learning paths in intelligent tutoring systems,3,Brief mention to intelligent tutoring systems and learning paths,1,Simple static visualization,EDM,1,4,"<b> Citation: </b>Jugo, I., Kova?i?, B., & Slavuj, V. (2016, January). Guiding Students towards Frequent High-Utility Paths in an Ill-Defined Domain. In 9th International Conference on Educational Data Mining.</br></br><b> Description: </b>Identifies common learning paths in intelligent tutoring systems</br></br><b> CET: </b>Brief mention to intelligent tutoring systems and learning paths</br></br><b> SoV: </b>Simple static visualization</br></br>"
"Ahn, J., Gubbels, M., Yip, J., Bonsignore, E., & Clegg, T. (2013, June). Using social media and learning analytics to understand how children engage in scientific inquiry. In Proceedings of the 12th International Conference on Interaction Design and Children (pp. 427-430). ACM.",Visualization of students interactions in social media promoting scientific inquiry learning,3,Brielfy connects social media and learning literature to feedback and scaffolding (one reference only). Does not inform design and does not discusses findings under existing literature,2,Unique static visualization is presented,International Conference on Interaction Design and Children,1,7,"<b> Citation: </b>Ahn, J., Gubbels, M., Yip, J., Bonsignore, E., & Clegg, T. (2013, June). Using social media and learning analytics to understand how children engage in scientific inquiry. In Proceedings of the 12th International Conference on Interaction Design and Children (pp. 427-430). ACM.</br></br><b> Description: </b>Visualization of students interactions in social media promoting scientific inquiry learning</br></br><b> CET: </b>Brielfy connects social media and learning literature to feedback and scaffolding (one reference only). Does not inform design and does not discusses findings under existing literature</br></br><b> SoV: </b>Unique static visualization is presented</br></br>"
